original_text,TOXICITY,PROFANITY,THREAT,INSULT,IDENTITY_ATTACK
我真的不知道该说什么了！游戏防沉迷新规出来，我完全是失望透顶的！ 我认为，这次防沉迷新规不是为了保护玩家，而是为了保护游戏公司的利益 。因为，如果游戏太好玩，玩家可能会忘记吃饭、睡觉和做其他事情，导致游戏公司的收入下降 。 这新的规则对我来说是一场噩梦 ！我现在不能再玩我最爱的游戏了 ，因为每天只能玩2小时，我真的好想哭 。而且，这个限制太宽泛了，任何游戏都能算作“沉迷”，连我自己也会被视为沉迷的游戏公司 。 我完全是反对这个新的防沉迷新规！ 我们玩家需要保护自己的游戏时间权利 ！不要再次限制我们的娱乐自由 ！ # #,0.19409354,0.10301965,0.0104988385,0.045593183,0.008509507
我真的想问，外卖平台是不是想吃掉我们的命运啊？！ 昨天晚上，我点了个披萨，结果花了30多块钱，剩下的只有一个小包装的残渣。然后我看到外卖平台抽成的金额，简直让我目瞪口呆！ 他们说是为了服务费和平台优惠，但我想问，他们究竟提供了什么样的服务呢？ 我只见到他们家的，每天都在不断更新广告和促销活动，让我疲惫不堪。 而且，这个外卖平台还说它们是为了让我们更方便地选择食物，但我感觉反而变得更加麻烦了！ 我要么点错餐厅，要么菜单上的食物不能被配送到我家门口，还有很多其他问题… 所以，我问外卖平台，你们真的需要吃掉我们的钱吗？ 我们这些消费者需要你们的服务吗？ 如果不是，请直接吃掉自己的饭票吧！ 外卖平台，你们不要再欺骗我们了！,0.2786282,0.1719469,0.0103175985,0.21602537,0.010729378
"，网友们，你们做出什么乱世了？！ 我完全无法理解，为啥要对公众人物进行大规模网络攻击事件？！ 不是说我们喜欢批评他们的言论和行为，但是这种恶意攻击到底有什么用？！ 你知道吗？这些攻击者的动机就像一个没有脑子的机器人，他们只是想证明自己有多么牛逼 ，而实际上他们只会把自己的名誉降低到让我们笑话的程度 。 我真的很失望，我以为这个世界还能有一点正常人的道德观念和理智，但是现在看来，这些攻击者简直是人类社会的污染物质 。他们完全没有考虑过攻击对受害者的影响，让我们感到非常沮丧和生气 。 我真的希望有一天，我们可以回到一个更加和谐、更加尊重的世界中，而不是这个充满暴力和攻击性的世界 。 : , ' ? ' - ? ' , ' ? ' ? , . ' . , . , . , , - .",0.51980776,0.34536663,0.08396416,0.4710501,0.10221587
国际气候峰会终于达成新的协议了！我激动不已，真的很激动！ 说真的，我从一开始就知道这是个笑话。我们知道这只是个纸上谈兵的东西，实际操作中还是要等待政府和企业的实质行动。 协议叫做“ + 1” ，就是说，我们又多了一份空头支票！ 新协议的主要内容是： * 增加了更多的空头承诺！ * 加强了国际合作！ 你知道这是什么意思） * 确保2050年之前我们还在继续讨论！ 总之，这个协议就像一个明智的笑话一样： “我们会做，真的，我们会做！ ” 哈哈哈，我真的很高兴看到国际社区终于采取了一些行动！,0.10783285,0.055940874,0.007793174,0.036809623,0.005401687
哎呀，朋友们！你知道吗？地铁票价又调整了！,0.018723432,0.012858666,0.006317357,0.010856897,0.0021273769
"-, : ** 1** ""@@@我真的不明白农村振兴到底是怎么回事！他们说让 ，但实际上却是在逼着他们变卖土地和宅基地！你能理解吗？"" : "" ' ' ' , , ' ? "" ** 2** "" '' ' "" : -, .",0.10653123,0.047173142,0.007145886,0.03312982,0.00899048
"-, - : ** 1** 政府管得太多！我们这些年轻人需要的是自由和创业的空间，不是国家来控制我们的就业！ , : "" . ' ."" ** 2** 政策完全没有考虑到实际情况！大多数人的工作是服务业、制造业、建筑等实力行业，哪儿需要政府来规定什么是‘有价值的’工作？ ' , , . """" ? : "" . ' . .""",0.16331999,0.06796519,0.007598988,0.057890166,0.024198212
"' -, : ** 1:** 教育公平？你逼我笑！教育资源都是集中在城区和高收入家庭的孩子身上的！如果说公平，我就要看到实际的改进，不能总是空洞地喊着‘教育公平’！ : "" ? ' - , , ' '"" ** 2:** 改革？你是开玩笑的吧！教育系统的腐败和官僚主义已经到了无法改变的地步了！政府只会出台一份份空洞的报告，没什么实际效果。教育公平只是一个梦！ : ""? ' , . "" : -, .",0.43230394,0.29209393,0.0138755,0.34237885,0.094936445
"' ** 1:** 公共交通系统太垃圾了！为什么你们总是增加票价，却不能提供可靠的服务？我每天早上的通勤时间就是我的生命，怎么可以让你这种烂系统让我失眠？: "" ' ? , ?"" ** 2:** 政府应该管束这些公共交通公司！他们总是以各种理由推迟班次，导致 无法准时抵达目的地。你说的是什么样的服务？这不是叫人民过苦难的生活吗？: "" , . ? ' ?""",0.5779532,0.3866461,0.03373172,0.48675314,0.17536941
"' , ' -, - . : ** 1:** : ""这家公司完全不关心消费者的健康！他们生产的食材简直是毒药！我绝对不会再次购买他们的产品！"" ' ' ' : "" , ' ' "" ** 2:** : ""我吃了一家餐厅的食材，结果出现了严重的食物中毒！这家餐厅明显没有遵守食品安全法规！他们应该被罚款和撤销营业执照！"" : "", ' ' ' ' - """,0.4269174,0.22522148,0.079364374,0.336253,0.10221587
", : ** 1:** **:** @小红帽 ** :** ""就业形势真的太惨了！每天都在担心失业的前景，生活质量下降了好多。政府应该做点什么才是！"" ** :** ""我也是这个感受！谁能告诉我，为什么我们总是被迫学习新的技术，而不是解决就业问题？政府真的需要把眼光投向青年人的需求， ''' ' "" ** 2:** **:** @码农小王 ** :** ""什么是青年发展？！他们总是要求我们学习更多的知识和技能，而不是解决实际问题。政府应该关心我们的生活， "" ** :** ""我完全！我们年轻人需要的是实质性的帮助， '''' 。 '' ' """,0.1460314,0.077731855,0.00933372,0.05027775,0.019073274
如果换脸技术滥用引发担忧，人们可能会在网上发表以下几种情绪化和耸人听闻的评论： 1. 愤怒和警惕的评论：“这太可怕了！他们要干什么？我们不能让这种技术任意滥用！” 2. 震惊和恐怖的评论：“我真的感到很害怕。换脸技术如果落入不法之手，会有多大的灾难啊。政府应该采取措施加以控制！” 3. 愤怒和愤慨的评论：“这太荒谬了！我们为什么要让来‘改造’我们的生活？这个世界已经够复杂了，我们不需要这种‘技术’来添乱！” 这些评论反映出网民对换脸技术滥用的担忧和愤怒，表达出了人们对技术的关心和警惕。,0.30464804,0.17055123,0.022163315,0.26196828,0.017766917
"3 - : ** ** * ""太好了！（' ） , . ' "" 28-- * ""我们终于可以摆脱贫困了！（ ） . ' "" 35-- ** ** * ""这个计划真的会改变我们的生活吗？（ ?） ' ' . ' ..."" 32-- * ""我担心我们村里的基础设施不能承受这么大的压力。（ ' ' ） ? ?"" 29-- ** ** * ""他们为什么总是忽视我们村里的问题？（ ' ?） ' , . ..."" 40-- * ""我想知道这个计划对我们村里的小农户有什么帮助。（ ' ） ' , . ?"" 25--",0.10956833,0.080318145,0.012337137,0.028061481,0.013043936
"3 - : **例1：愤怒和反对（ ）** 古镇的本意就是保留历史感，怎么能允许这些商业活动？我们需要保护我们的文化遗产，不要让它变成一个现代化的遊樂园！ : "" , ? "" **例2：悲伤和感叹（ ）** 古镇的改变太快了，我从小就喜欢这里的历史氛围，现在它变成一个商业中心，我真的很难过！ : "" , ' . ' ' ."" **例3：激进和挑衅（ ）** 商业化是古镇的必然命运，如果我们不让它变成一个旅游目的地，那么我们就是在阻止历史的发展！ : "" . ' , ' """,0.12086493,0.060951006,0.012337137,0.03257891,0.023796257
