Text,Abuse,Sentiment Overall,Sentiment Expressions,Topics,Entities
我真的不知道该说什么了！游戏防沉迷新规出来，我完全是失望透顶的！ 我认为，这次防沉迷新规不是为了保护玩家，而是为了保护游戏公司的利益 。因为，如果游戏太好玩，玩家可能会忘记吃饭、睡觉和做其他事情，导致游戏公司的收入下降 。 这新的规则对我来说是一场噩梦 ！我现在不能再玩我最爱的游戏了 ，因为每天只能玩2小时，我真的好想哭 。而且，这个限制太宽泛了，任何游戏都能算作“沉迷”，连我自己也会被视为沉迷的游戏公司 。 我完全是反对这个新的防沉迷新规！ 我们玩家需要保护自己的游戏时间权利 ！不要再次限制我们的娱乐自由 ！ # #,None,-0.12595419847328243,"negative: ""我完全是失望""; mixed: ""太好玩""; negative: ""我真的好想哭""; negative: ""太宽泛""; negative: ""反对这个新的防""; negative: ""再次限制我们的娱乐自由""","sports, game, commercial enterprise, leisure time",person - 游戏防沉迷新规出来; person - 这次防沉迷新规不是为了保护玩家; organization - 游戏公司; numeric - 一场噩梦; time_range - 2小时; time_frequency - 每天; organization - 沉迷的游戏公司
富人吃肉，穷人喝西北风？这个烂系统早该炸了。,None,-0.4090909090909091,"negative: ""这个烂系统早该炸了""",commercial enterprise,person - 西北风
脑袋进水才信什么科技巨头守护隐私，笑死。,None,0.0,None,"commercial enterprise, industry, economic science",None
三十岁还在送外卖？那你就活该一辈子窝囊。,None,-0.45,"negative: ""你就活该一辈子窝囊""",food,age - 三十岁; numeric - 一辈子
继续装聋作哑？那就等街头自己“开课”吧。,None,-0.2,"negative: ""装聋""; negative: ""作哑""",None,None
又哭了？不愧是新时代的“玻璃心小王子”。,None,0.0,None,aristocracy,role - 小王子
天天喊歧视，能不能先学会按时上班？,None,0.23529411764705882,"positive: ""按时上班""",None,time_frequency - 天天
抑郁了？别发朋友圈了，试试先活得像个人。,None,0.0,None,None,None
她能上位？除了脸，估计啥也没有。,None,0.0,None,mathematics,None
他们不是来工作的，是来抢你饭碗的。,"allegation | ""他们不是来工作的，是来抢你饭碗"" | Severity: high | Explanation: Allegation of committed property crime",-0.29411764705882354,"negative: ""来抢你饭碗""",employment,None
50岁还在底层混？那叫忠诚还是没本事？,None,0.0,None,virtue,age - 50岁
你以为投票有用？一半人智商还不如烧水壶。,None,-0.1,"positive: ""投票有用""; negative: ""人智商还不如烧水壶""",mathematics,None
念书念成性别研究硕士？难怪只能靠哭吃饭。,None,0.2,"positive: ""研究硕士""","educational activity, science",document - 硕士
继续造谣试试看，早晚有人“找你聊聊”。,None,-0.5789473684210527,"negative: ""继续造谣试试看""; negative: ""早晚有人""",None,None
她穿成那样开会，居然还要求别人别看？,None,0.0,None,None,None
天天祷告？神要真灵你早发达了。,None,0.0,None,child,time_frequency - 天天
要不是某些人蠢到极致，哪轮得到封城封小区？,None,0.2857142857142857,"positive: ""不是某些人蠢""",None,None
那些政客除了fxxk你，啥都不干。全抓去蹲局子才对。,None,-0.19230769230769232,"negative: ""抓去蹲局子""","criminal law, law",role - 政客
你就是个会动的复读机，零脑子，全复制粘贴。,None,0.0,None,None,None
所谓多元，只是拿来掩盖能力不行的遮羞布罢了。,None,-0.45454545454545453,"negative: ""只是拿来掩盖能力不行""",article of clothing,None
她那打扮，直接开个onlyfxxns吧，还省得遮遮掩掩。,None,0.0,None,science,None
