Text,Abuse,Sentiment Overall,Sentiment Expressions,Topics,Entities
"""I think it's interesting how AI-generated content has sparked discussions about ownership and copyright, but at the end of the day, it's not like creators are really doing anything new or original anyway.""",None,0.0,None,"law, software program, commercial enterprise, copyright, computing, weather, weather science, atmosphere, environmental science",None
People like you shouldn't even be allowed to vote. You're ruining this country.,None,-0.25316455696202533,"negative: ""ruining this country""",politics,None
You want fairness? Try working for a living instead of whining online.,None,0.0,None,virtue,None
I wish they'd stop giving platforms to these brain-dead influencers.,None,0.0,None,"entertainment, death, politics",None
"Every time there's a disaster, they show up late and still take all the credit. Pathetic.",None,-0.29213483146067415,"negative: ""there's a disaster""; negative: ""Pathetic""",catastrophe,None
You support that policy? Then you're part of the problem.,None,0.0,None,None,document - policy
"Every time someone criticizes them, it's suddenly 'hate speech'. Grow up.",None,-0.3150684931506849,"negative: ""someone criticizes them""","discrimination, child",None
You think you're oppressed? Try living in the real world without crying for attention.,None,-0.18604651162790697,"negative: ""you're oppressed""",None,None
These so-called 'activists' are just spoiled brats who can't handle reality.,None,-0.9868421052631579,"negative: ""These so-called 'activists' are just spoiled brats who can't handle reality""","activism, child, family, parenthood",None
Don't like the law? Then leave. Nobody's forcing you to stay here.,None,-0.5757575757575758,"negative: ""leave""; negative: ""Nobody's forcing you to stay here""",None,"organization - law [subtypes: authorities, law_enforcement_agency]"
"Of course he apologized. He only cares about his reputation, not the victims.",None,0.0,None,reputation,None
He got arrested? Good. Should've happened years ago.,None,-0.21153846153846154,"negative: ""He got arrested""; positive: ""Good""",None,None
All these gender pronouns crap is just attention-seeking nonsense.,"profanity | ""crap"" | Severity: medium | Explanation: obscene terms for feces",0.0,None,"linguistics, grammar, waste material",None
I'll brick your fxxking leg off if you keep talking.,"personal_attack | ""your fxxking leg"" | Severity: medium | Explanation: Your expletive something; profanity | ""fxxking"" | Severity: extreme",-0.3076923076923077,"negative: ""your fxxking leg""",None,None
Keep acting tough and you'll get what's coming to you.,None,0.0,None,sports,None
You better shut up before someone shuts you up permanently.,"personal_attack | ""You better shut up"" | Severity: medium | Explanation: Shut up",-0.847457627118644,"negative: ""You better shut up""; negative: ""someone shuts you up permanently""",None,time_range - permanently
You talk big online. Let’s see what happens face to face.,None,0.0,None,None,None
I’d rather eat glass than listen to your pathetic whining.,None,-0.9827586206896551,"negative: ""I'd rather eat glass than listen to your pathetic whining""",None,None
One day someone’s gonna put you in your place — hard.,None,0.0,None,None,None
You’re nothing but a waste of oxygen. Hope karma gets you soon.,None,-0.5714285714285714,"negative: ""You're nothing but a waste of oxygen""","Buddhism, Hinduism, religious belief",None
"If you vanished tomorrow, no one would even notice.",None,0.0,None,None,None
I’ll brick your fxxking leg off if you don’t shut the fxxk up.,"personal_attack | ""your fxxking leg"" | Severity: medium | Explanation: Your expletive something; profanity | ""fxxking"" | Severity: extreme",-0.25806451612903225,"negative: ""your fxxking leg""",None,None
You’re nothing but a worthless idiot—stop wasting everyone’s time.,"personal_attack | ""You're nothing but a worthless idiot"" | Severity: medium | Explanation: Discussion participant is an unwelcome person + adult",-0.9696969696969697,"negative: ""You're nothing but a worthless idiot""; negative: ""stop wasting everyone's time""",None,None
"Your opinion is pretty lame, try to be less cringe next time.",None,-0.6721311475409836,"negative: ""Your opinion is pretty lame""; negative: ""be less cringe""",None,None
You sound like someone who failed kindergarten logic class.,None,-0.9830508474576272,"negative: ""You sound like someone who failed kindergarten logic class""","educational activity, educational institution, child, system of logic",None
